RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,28,6,0.824,--,15-3,15-2,13-4,W2,8-2,True
2,MIN,25,9,0.735,3,14-5,15-3,10-6,W2,9-1,True
3,CON,24,10,0.706,4,13-6,13-5,11-5,L2,6-4,True
4,LVA,22,12,0.647,6,10-8,11-7,11-5,W4,6-4,True
5,SEA,20,14,0.588,8,8-6,12-5,8-9,L1,4-6,True
6,IND,18,17,0.514,10.5,10-8,10-6,8-11,L1,7-3,True
7,PHO,17,18,0.486,11.5,9-8,10-8,7-10,L1,4-6,True
8,CHI,12,22,0.353,16,5-12,5-12,7-10,W1,2-8,False
9,ATL,12,22,0.353,16,4-11,7-10,5-12,W1,5-5,False
10,WAS,11,23,0.324,17,4-11,4-12,7-11,W2,5-5,False
11,DAL,9,25,0.265,19,6-12,7-10,2-15,L3,4-6,False
12,LASCircle,7,27,0.206,21,4-12,5-11,2-16,L3,1-9,False
