RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYLClose,23,4,0.852,--,15-2,12-1,11-3,W6,9-1
2,CON,19,7,0.731,3.5,10-5,10-3,9-4,L1,6-4
3,MIN,19,8,0.704,4,11-4,12-3,7-5,W3,6-4
4,LVA,17,9,0.654,5.5,9-5,9-6,8-3,W1,7-3
5,SEA,17,10,0.630,6,8-6,11-3,6-7,L2,6-4
6,PHO,15,13,0.536,8.5,9-6,9-4,6-9,W1,6-4
7,IND,13,15,0.464,10.5,7-8,8-5,5-10,W2,6-4
8,CHI,11,16,0.407,12,5-9,4-9,7-7,L1,5-5
9,ATL,9,17,0.346,13.5,4-10,5-8,4-9,W2,2-8
10,DAL,6,20,0.231,16.5,3-12,4-8,2-12,L1,3-7
11,LAS,6,21,0.222,17,4-11,4-10,2-11,L4,2-8
12,WAS,6,21,0.222,17,3-10,3-10,3-11,L4,2-8
